Year,Region,Property Type,Average Price,Price Index,Number of Sales,Median Price,Affordability Index
2010,Toronto,Condominium,505711,171.51893663724195,885,426382.9,104.4883182996897
2010,Toronto,Non-Detached,322579,164.58941130666562,854,320792.10000000003,139.17730007820796
2010,Toronto,Semi-Detached,1419160,127.26562945801132,755,1259474.0,131.21687287754932
2010,Toronto,Detached,945048,139.27847961008297,587,893548.2000000001,83.73961604172683
2010,Ottawa,Condominium,1156308,102.02183974403258,805,998554.2000000001,127.81567509498505
2010,Ottawa,Non-Detached,641170,147.36080452737104,227,626112.0,102.04774795512049
2010,Ottawa,Semi-Detached,924115,111.82744258689333,338,863560.5,64.33532874090464
2010,Ottawa,Detached,677428,147.36004193466573,560,571408.2000000001,123.69181771289581
2010,Hamilton,Condominium,1238364,156.84339488686484,178,1123827.6,111.76354970758771
2010,Hamilton,Non-Detached,1399654,122.23213882515876,323,1306279.6,140.25984755294047
2010,Hamilton,Semi-Detached,1243498,135.95079005737858,938,1089885.2,119.76311959272648
2010,Hamilton,Detached,916713,196.98090677467488,920,835576.7000000001,67.09095851360452
2010,London,Condominium,1239442,112.89262976548534,448,1117308.8,86.37107709426226
2010,London,Non-Detached,736660,163.4274057957335,824,695985.0,70.88767560948347
2010,London,Semi-Detached,958915,199.52995676778875,230,816941.5,96.63107728563062
2010,London,Detached,1423907,162.35101011318682,769,1268753.3,115.63295894652734
2010,Mississauga,Condominium,308101,119.65823616800535,498,316473.9,132.0993229847935
2010,Mississauga,Non-Detached,1434801,183.7944907498804,980,1332248.9000000001,147.64594650133958
2010,Mississauga,Semi-Detached,1052941,105.57146937016063,967,922423.9,51.99876654087588
2010,Mississauga,Detached,595634,197.95867288127283,433,547640.6,118.86611828057704
2010,Brampton,Condominium,650110,141.426299451467,173,549353.0,106.66014542065751
2010,Brampton,Non-Detached,1285649,150.89689606670146,832,1138869.1,142.11576102371998
2010,Brampton,Semi-Detached,649572,192.92961975762142,93,613310.8,116.74103799636816
2010,Brampton,Detached,1065360,171.63272041185655,178,997694.0,68.31913620071168
2010,Windsor,Condominium,574314,155.28214798875715,494,559530.6000000001,86.980809274834
